epoch,state,pi_d_star_action,argmax_action,agrees,prob_pi_d_star_action
0,71,1,0,0,0.07496721297502518
0,129,1,1,1,0.6045437455177307
0,157,2,3,0,0.002797650871798396
0,158,2,3,0,0.0029183481819927692
0,159,3,3,1,0.9972678422927856
0,183,0,3,0,0.0005703351926058531
0,192,1,1,1,0.5850491523742676
0,197,1,3,0,0.15743699669837952
0,221,1,3,0,0.16409987211227417
0,233,1,3,0,0.4086812734603882
0,256,1,0,0,0.04651963338255882
0,282,3,3,1,0.9987150430679321
0,286,1,0,0,0.03414580225944519
0,308,0,0,1,0.5620410442352295
0,310,3,1,0,0.46224212646484375
0,311,3,3,1,0.5614244937896729
0,312,1,2,0,0.31091272830963135
0,316,1,0,0,0.025378528982400894
0,320,3,3,1,0.9572203159332275
0,321,2,1,0,0.007973270490765572
0,342,1,0,0,0.010925875045359135
0,344,1,3,0,0.38664570450782776
0,372,3,3,1,0.9986991882324219
0,373,1,2,0,0.2072306126356125
0,374,3,3,1,0.9983062744140625
0,379,3,3,1,0.7174685597419739
0,382,2,1,0,0.05237285792827606
0,386,1,3,0,0.18635191023349762
0,387,2,3,0,0.008636047132313251
0,409,3,3,1,0.9868600964546204
0,445,3,1,0,0.2399992048740387
0,657,3,2,0,0.2712858021259308
0,685,1,2,0,0.256734162569046
0,716,1,2,0,0.2964653968811035
0,748,3,1,0,0.2947618365287781
0,749,0,2,0,0.2726009786128998
5,71,1,0,0,0.01112054381519556
5,129,1,3,0,0.44487839937210083
5,157,2,3,0,0.0008175112307071686
5,158,2,3,0,0.0008943036082200706
5,159,3,3,1,0.9981800317764282
5,183,0,3,0,0.00033621577313169837
5,192,1,1,1,0.6186715364456177
5,197,1,3,0,0.026539631187915802
5,221,1,3,0,0.03606368601322174
5,233,1,3,0,0.3598954975605011
5,256,1,0,0,0.035281408578157425
5,282,3,3,1,0.999705970287323
5,286,1,0,0,0.03015269711613655
5,308,0,0,1,0.5985799431800842
5,310,3,3,1,0.5980674028396606
5,311,3,1,0,0.4804380238056183
5,312,1,2,0,0.2850557863712311
5,316,1,0,0,0.02596789225935936
5,320,3,3,1,0.8923530578613281
5,321,2,1,0,0.004282964393496513
5,342,1,0,0,0.007294178940355778
5,344,1,3,0,0.14240968227386475
5,372,3,3,1,0.9998257756233215
5,373,1,2,0,0.045507654547691345
5,374,3,3,1,0.9997598528862
5,379,3,3,1,0.7658284902572632
5,382,2,1,0,0.20374637842178345
5,386,1,3,0,0.05528002977371216
5,387,2,3,0,0.0009847830515354872
5,409,3,3,1,0.9981728792190552
5,445,3,1,0,0.11217831820249557
5,657,3,2,0,0.2642607092857361
5,685,1,2,0,0.062329020351171494
5,716,1,2,0,0.11519049853086472
5,748,3,1,0,0.38704580068588257
5,749,0,0,1,0.5178477764129639
10,71,1,0,0,0.009606602601706982
10,129,1,3,0,0.30575859546661377
10,157,2,3,0,0.0002767439291346818
10,158,2,3,0,0.00028834567638114095
10,159,3,3,1,0.9980096220970154
10,183,0,3,0,0.00020836605108343065
10,192,1,1,1,0.5228670835494995
10,197,1,3,0,0.011601407080888748
10,221,1,3,0,0.017448972910642624
10,233,1,3,0,0.26898080110549927
10,256,1,0,0,0.03230675682425499
10,282,3,3,1,0.9997463822364807
10,286,1,0,0,0.029977796599268913
10,308,0,2,0,0.49169015884399414
10,310,3,3,1,0.7108076810836792
10,311,3,1,0,0.4453214704990387
10,312,1,2,0,0.29095664620399475
10,316,1,0,0,0.027658050879836082
10,320,3,3,1,0.7548214793205261
10,321,2,1,0,0.0015987299848347902
10,342,1,0,0,0.009399430826306343
10,344,1,3,0,0.05368393659591675
10,372,3,3,1,0.9998657703399658
10,373,1,2,0,0.02696719393134117
10,374,3,3,1,0.9998370409011841
10,379,3,3,1,0.8114007115364075
10,382,2,1,0,0.23247039318084717
10,386,1,3,0,0.020175796002149582
10,387,2,3,0,0.00042470553307794034
10,409,3,3,1,0.9987331032752991
10,445,3,1,0,0.1996745467185974
10,657,3,2,0,0.24360235035419464
10,685,1,2,0,0.08185911923646927
10,716,1,2,0,0.1696942150592804
10,748,3,1,0,0.4555166959762573
10,749,0,2,0,0.4743105471134186
15,71,1,0,0,0.019308358430862427
15,129,1,3,0,0.29304349422454834
15,157,2,3,0,0.0015990936663001776
15,158,2,3,0,0.0017135218949988484
15,159,3,3,1,0.9969242215156555
15,183,0,3,0,0.0004044798552058637
15,192,1,3,0,0.49058398604393005
15,197,1,3,0,0.006000353954732418
15,221,1,3,0,0.007422104477882385
15,233,1,3,0,0.32550811767578125
15,256,1,0,0,0.03352972865104675
15,282,3,3,1,0.9996102452278137
15,286,1,0,0,0.032136220484972
