state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
0,0,0,True,2,-1.0108733140913695,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.5871876613347413,0,0.0,0.0,0,-2.941119432899005,-3.014535665512085,0.07341623261307983,961,961,961,3,-1.1640552873581527,0,0.9486832980505139,1.4340056880679581,0,0.0,0,0,1,0.0,0.0
1,0,1,True,4,-0.9891048893624783,3,3,0,0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.6089560860636325,0,0.0,0.0,0,-2.940471282830884,-2.967349052429199,0.026877769598315115,1040,1040,1040,3,-1.1440067510475675,0,0.316227766016838,1.4540542243785433,0,0.0,0,0,1,0.0,0.0
2,0,2,True,4,-0.9664255754044785,3,3,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.6316354000216324,0,0.0,0.0,0,-2.9395307073398156,-2.9302492141723633,0.009281493167452304,1235,1235,1235,3,-1.1231974321688218,0,0.316227766016838,1.474863543257289,0,0.0,0,0,1,0.0,0.0
3,0,3,True,4,-0.9436559642954541,1,1,0,0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.6544050111306567,0,0.0,0.0,0,-2.9384178189861943,-2.85587739944458,0.08254041954161417,3378,3378,3378,1,-1.1021403136096508,0,0.316227766016838,1.49592066181646,0,0.0,0,0,1,0.0,0.0
4,0,4,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9999592935451904,-3.136704683303833,0.1367453897586426,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
5,0,5,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9999589261507396,-3.0722248554229736,0.07226592927223408,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
6,0,6,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999957247225436,-2.990739107131958,0.009218140093477878,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
7,0,7,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9999507813293294,-2.872119188308716,0.12783159302061353,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
8,0,8,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999926859333659,-2.7554876804351807,0.24443917889847855,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
9,0,9,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999927856889136,-2.734421730041504,0.2655061268476322,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
